customer_seg,Alcohol,Malic acid,Ash, Alcalinity of ash, Magnesium,Total phenols, Flavanoids, Nonflavanoid phenols, Proanthocyanins, Color intensity, Hue, OD280/OD315 of diluted wines, Proline 
2,13.34,0.94,2.37,17,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750
2,12.21,1.19,1.75,17.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718
2,12.29,1.71,2.21,20.4,103,1.1,1.02,0.37,1.47,3.05,0.907,1.82,870
2,13.87,1.51,2.77,25,87,2.95,2.87,0.21,1.87,3.38,1.37,3.17,410
2,13.49,1.77,2.24,24,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472
2,12.99,1.77,2.7,30,139,3.3,2.89,0.21,1.97,3.35,1.31,3.5,985
2,11.97,1.09,2.3,21,101,3.38,2.14,0.13,1.75,3.21,0.99,3.13,887
2,11.77,1.88,1.92,17,97,1.71,1.57,0.34,1.15,3.8,1.23,2.14,428
2,13.03,0.9,1.71,17,87,1.95,2.03,0.24,1.47,4.7,1.19,2.48,392
2,11.84,2.89,2.23,18,112,1.72,1.32,0.43,0.95,2.75,0.97,2.52,500
2,12.33,0.99,1.95,14.8,137,1.9,1.85,0.35,2.77,3.4,1.07,2.31,750
2,12.7,3.87,2.4,23,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,473
2,12,0.92,2,19,87,2.42,2.27,0.3,1.43,2.5,1.38,3.12,278
2,12.72,1.81,2.2,18.8,87,2.2,2.53,0.27,1.77,3.9,1.17,3.14,714
2,12.08,1.13,2.51,24,78,2,1.58,0.4,1.4,2.2,1.31,2.72,730
2,13.05,3.87,2.32,22.5,85,1.75,1.59,0.71,1.72,4.8,0.84,2.01,515
2,11.84,0.89,2.58,18,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520
2,12.77,0.98,2.24,18,99,2.2,1.94,0.3,1.47,2.72,1.23,3.17,450
2,12.17,1.71,2.31,22.8,90,1.78,1.79,0.43,1.57,2.45,1.33,2.27,495
2,11.75,1.77,2.72,27,88,1.92,1.71,0.4,1.34,2.7,1.37,3.21,572
2,11.74,2.07,2.47,21.7,84,1.95,1.79,0.48,1.35,2.8,1,2.75,780
2,12.08,1.33,2.3,23.7,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,725
2,12.08,1.83,2.32,18.5,81,1.7,1.5,0.52,1.74,2.4,1.08,2.27,480
2,12,1.51,2.42,22,87,1.45,1.25,0.5,1.73,3.7,1.05,2.75,450
2,12.79,1.53,2.27,20.7,80,1.38,1.47,0.58,1.72,3.05,0.97,2.07,495
2,12.29,2.83,2.22,18,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290
2,11.72,1.99,2.28,18,98,3.02,2.27,0.17,1.35,3.25,1.17,2.97,345
2,12.47,1.52,2.2,19,172,2.5,2.27,0.32,3.28,2.7,1.17,2.73,937
2,11.81,2.12,2.74,21.5,134,1.7,0.99,0.14,1.57,2.5,0.95,2.27,725
2,12.29,1.41,1.98,17,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428
2,12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,770
2,12.29,3.17,2.21,18,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,407
2,12.08,2.08,1.7,17.5,97,2.23,2.17,0.27,1.4,3.3,1.27,2.97,710
2,12.7,1.34,1.9,18.5,88,1.45,1.37,0.29,1.35,2.45,1.04,2.77,572
2,12.34,2.45,2.47,21,98,2.57,2.11,0.34,1.31,2.8,0.8,3.38,438
2,11.82,1.72,1.88,19.5,87,2.5,1.74,0.37,1.42,2.07,0.94,2.44,415
2,12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,772
2,12.42,2.55,2.27,22,90,1.78,1.84,0.77,1.42,2.7,0.87,3.3,315
2,12.25,1.73,2.12,19,80,1.75,2.03,0.37,1.73,3.4,1,3.17,510
2,12.72,1.75,2.28,22.5,84,1.38,1.77,0.48,1.73,3.3,0.88,2.42,488
2,12.22,1.29,1.94,19,92,2.37,2.04,0.39,2.08,2.7,0.87,3.02,312
2,11.71,1.35,2.7,20,94,2.74,2.92,0.29,2.49,2.75,0.97,3.27,780
2,11.47,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,572
2,12.52,2.43,2.17,21,88,2.55,2.27,0.27,1.22,2,0.9,2.78,325
2,11.77,2.78,2.92,20,103,1.75,2.03,0.7,1.05,3.8,1.23,2.5,707
2,11.41,0.74,2.5,21,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434
2,12.08,1.39,2.5,22.5,84,2.57,2.29,0.43,1.04,2.9,0.93,3.19,385
2,11.03,1.51,2.2,21.5,85,2.47,2.17,0.52,2.01,1.9,1.71,2.87,407
2,11.82,1.47,1.99,20.8,87,1.98,1.7,0.3,1.53,1.95,0.95,3.33,495
2,12.42,1.71,2.19,22.5,108,2,2.09,0.34,1.71,2.07,1.07,2.97,345
2,12.77,3.43,1.98,17,80,1.73,1.25,0.43,0.83,3.4,0.7,2.12,372
2,12,3.43,2,19,87,2,1.74,0.37,1.87,1.28,0.93,3.05,574
2,11.45,2.4,2.42,20,97,2.9,2.79,0.32,1.83,3.25,0.8,3.39,725
2,11.57,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,7,0.93,3.79,475
2,12.42,4.43,2.73,27.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,375
2,13.05,5.8,2.13,21.5,87,2.72,2.75,0.3,2.01,2.7,0.73,3.1,380
2,11.87,4.31,2.39,21,82,2.87,3.03,0.21,2.91,2.8,0.75,3.74,380
2,12.07,2.17,2.17,21,85,2.7,2.75,0.37,1.35,2.77,0.87,3.28,378
2,12.43,1.53,2.29,21.5,87,2.74,3.15,0.39,1.77,3.94,0.79,2.84,352
2,11.79,2.13,2.78,28.5,92,2.13,2.24,0.58,1.77,3,0.97,2.44,477
2,12.37,1.73,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342
2,12.04,4.3,2.38,22,80,2.1,1.75,0.42,1.35,2.7,0.79,2.57,580
3,12.87,1.35,2.32,18,122,1.51,1.25,0.21,0.94,4.1,0.77,1.29,730
3,12.88,2.99,2.4,20,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530
3,12.81,2.31,2.4,24,98,1.15,1.09,0.27,0.83,5.7,0.77,1.37,570
3,12.7,3.55,2.37,21.5,107,1.7,1.2,0.17,0.84,5,0.78,1.29,700
3,12.51,1.24,2.25,17.5,85,2,0.58,0.7,1.25,5.45,0.75,1.51,750
3,12.7,2.47,2.2,18.5,94,1.72,0.77,0.73,0.94,7.1,0.73,1.58,795
3,12.25,4.72,2.54,21,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720
3,12.53,5.51,2.74,25,97,1.79,0.7,0.73,1.1,5,0.82,1.79,515
3,13.49,3.59,2.19,19.5,88,1.72,0.48,0.58,0.88,5.7,0.81,1.82,580
3,12.84,2.97,2.71,24,101,2.32,0.7,0.53,0.81,4.92,0.89,2.15,590
3,12.93,2.81,2.7,21,97,1.54,0.5,0.53,0.75,4.7,0.77,2.31,700
3,13.37,2.57,2.35,20,89,1.4,0.5,0.37,0.74,5.7,0.7,2.47,780
3,13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.07,520
3,13.72,4.95,2.35,20,92,2,0.8,0.47,1.02,4.4,0.91,2.05,550
3,12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.75,2,855
3,13.17,3.57,2.15,21,102,1.5,0.55,0.43,1.3,4,0.7,1.78,830
3,13.88,5.04,2.23,20,80,0.98,0.34,0.4,0.78,4.9,0.58,1.33,415
3,12.87,4.71,2.48,21.5,87,1.7,0.75,0.47,0.87,7.75,0.54,1.87,725
3,13.32,3.24,2.38,21.5,92,1.93,0.77,0.45,1.25,8.42,0.55,1.72,750
3,13.08,3.9,2.37,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550
3,13.5,3.12,2.72,24,123,1.4,1.57,0.22,1.25,8.7,0.59,1.3,500
3,12.79,2.77,2.48,22,112,1.48,1.37,0.24,1.27,10.8,0.48,1.47,480
3,13.11,1.9,2.75,25.5,117,2.2,1.28,0.27,1.57,7.1,0.71,1.33,425
3,13.23,3.3,2.28,18.5,98,1.8,0.83,0.71,1.87,10.52,0.57,1.51,775
3,12.58,1.29,2.1,20,103,1.48,0.58,0.53,1.4,7.7,0.58,1.55,740
3,13.17,5.19,2.32,22,93,1.74,0.73,0.71,1.55,7.9,0.7,1.48,725
3,13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.57,9.01,0.57,1.74,480
3,12.45,3.03,2.74,27,97,1.9,0.58,0.73,1.14,7.5,0.77,1.73,880
3,14.34,1.78,2.7,25,98,2.8,1.31,0.53,2.7,13,0.57,1.97,770
3,13.48,1.77,2.74,22.5,89,2.7,1.1,0.52,2.29,11.75,0.57,1.78,720
3,12.37,3.83,2.38,21,88,2.3,0.92,0.5,1.04,7.75,0.57,1.58,520
3,13.79,3.27,2.54,20,107,1.83,0.57,0.5,0.8,5.88,0.97,1.82,780
3,12.85,3.27,2.58,22,107,1.75,0.7,0.7,0.97,5.58,0.87,2.11,570
3,12.97,3.45,2.35,18.5,107,1.39,0.7,0.4,0.94,5.28,0.78,1.75,775
3,13.78,2.77,2.3,22,90,1.35,0.78,0.41,1.03,9.58,0.7,1.78,715
3,13.73,4.37,2.27,22.5,88,1.28,0.47,0.52,1.15,7.72,0.78,1.75,520
3,13.45,3.7,2.7,23,111,1.7,0.92,0.43,1.47,10.78,0.85,1.57,795
3,12.82,3.37,2.3,19.5,88,1.48,0.77,0.4,0.97,10.27,0.72,1.75,785
3,13.58,2.58,2.79,24.5,105,1.55,0.84,0.39,1.54,8.77,0.74,1.8,750
3,13.4,4.7,2.87,25,112,1.98,0.97,0.27,1.11,8.5,0.77,1.92,730
3,12.2,3.03,2.32,19,97,1.25,0.49,0.4,0.73,5.5,0.77,1.83,510
3,12.77,2.39,2.28,19.5,87,1.39,0.51,0.48,0.74,9.899999,0.57,1.73,470
3,14.17,2.51,2.48,20,91,1.78,0.7,0.44,1.24,9.7,0.72,1.71,770
3,13.71,5.75,2.45,20.5,95,1.78,0.71,0.52,1.07,7.7,0.74,1.74,740
3,13.4,3.91,2.48,23,102,1.8,0.75,0.43,1.41,7.3,0.7,1.57,750
3,13.27,4.28,2.27,20,120,1.59,0.79,0.43,1.35,10.2,0.59,1.57,835
3,13.17,2.59,2.37,20,120,1.75,0.78,0.53,1.47,9.3,0.7,1.72,840
3,14.13,4.1,2.74,24.5,97,2.05,0.77,0.57,1.35,9.2,0.71,1.7,570
