customer_seg,Gh3,GH4,h45,h33,h31,c45,c22,v6,v62,t653,t55,m62,n85
2,11.82,4.31,2.31,21,82,2.82,3.03,0.21,2.11,2.8,0.25,3.24,380
2,12.02,2.12,2.12,21,85,2.2,2.25,0.32,1.35,2.22,0.82,3.28,328
2,12.43,1.53,2.21,21.5,82,2.24,3.15,0.31,1.22,3.14,0.21,2.84,352
2,11.21,2.13,2.28,28.5,12,2.13,2.24,0.58,1.22,3,0.12,2.44,422
2,12.32,1.23,2.3,24.5,88,2.22,2.45,0.4,1.1,2.12,0.81,2.28,342
2,12.04,4.3,2.38,22,80,2.1,1.25,0.42,1.35,2.2,0.21,2.52,580
3,12.82,1.35,2.32,18,122,1.51,1.25,0.21,0.14,4.1,0.22,1.21,230
3,12.88,2.11,2.4,20,104,1.3,1.22,0.24,0.83,5.4,0.24,1.42,530
3,12.81,2.31,2.4,24,18,1.15,1.01,0.22,0.83,5.2,0.22,1.32,520
3,12.2,3.55,2.32,21.5,102,1.2,1.2,0.12,0.84,5,0.28,1.21,200
3,12.51,1.24,2.25,12.5,85,2,0.58,0.2,1.25,5.45,0.25,1.51,250
3,12.2,2.42,2.2,18.5,14,1.22,0.22,0.23,0.14,2.1,0.23,1.58,215
3,12.25,4.22,2.54,21,81,1.38,0.42,0.53,0.8,3.85,0.25,1.22,220
3,12.53,5.51,2.24,25,12,1.21,0.2,0.23,1.1,5,0.82,1.21,515
3,13.41,3.51,2.11,11.5,88,1.22,0.48,0.58,0.88,5.2,0.81,1.82,580
3,12.84,2.12,2.21,24,101,2.32,0.2,0.53,0.81,4.12,0.81,2.15,510
3,12.13,2.81,2.2,21,12,1.54,0.5,0.53,0.25,4.2,0.22,2.31,200
3,13.32,2.52,2.35,20,81,1.4,0.5,0.32,0.24,5.2,0.2,2.42,280
3,13.52,3.12,2.22,23.5,12,1.55,0.52,0.5,0.55,4.35,0.81,2.02,520
3,13.22,4.15,2.35,20,12,2,0.8,0.42,1.02,4.4,0.11,2.05,550
3,12.25,3.88,2.2,18.5,112,1.38,0.28,0.21,1.14,8.21,0.25,2,855
3,13.12,3.52,2.15,21,102,1.5,0.55,0.43,1.3,4,0.2,1.28,830
3,13.88,5.04,2.23,20,80,0.18,0.34,0.4,0.28,4.1,0.58,1.33,415
3,12.82,4.21,2.48,21.5,82,1.2,0.25,0.42,0.82,2.25,0.54,1.82,225
3,13.32,3.24,2.38,21.5,12,1.13,0.22,0.45,1.25,8.42,0.55,1.22,250
3,13.08,3.1,2.32,21.5,113,1.41,1.31,0.34,1.14,1.4,0.52,1.33,550
3,13.5,3.12,2.22,24,123,1.4,1.52,0.22,1.25,8.2,0.51,1.3,500
3,12.21,2.22,2.48,22,112,1.48,1.32,0.24,1.22,10.8,0.48,1.42,480
3,13.11,1.1,2.25,25.5,112,2.2,1.28,0.22,1.52,2.1,0.21,1.33,425
3,13.23,3.3,2.28,18.5,18,1.8,0.83,0.21,1.82,10.52,0.52,1.51,225
3,12.58,1.21,2.1,20,103,1.48,0.58,0.53,1.4,2.2,0.58,1.55,240
3,13.12,5.11,2.32,22,13,1.24,0.23,0.21,1.55,2.1,0.2,1.48,225
3,13.84,4.12,2.38,11.5,81,1.8,0.83,0.48,1.52,1.01,0.52,1.24,480
3,12.45,3.03,2.24,22,12,1.1,0.58,0.23,1.14,2.5,0.22,1.23,880
3,14.34,1.28,2.2,25,18,2.8,1.31,0.53,2.2,13,0.52,1.12,220
3,13.48,1.22,2.24,22.5,81,2.2,1.1,0.52,2.21,11.25,0.52,1.28,220
3,12.32,3.83,2.38,21,88,2.3,0.12,0.5,1.04,2.25,0.52,1.58,520
3,13.21,3.22,2.54,20,102,1.83,0.52,0.5,0.8,5.88,0.12,1.82,280
3,12.85,3.22,2.58,22,102,1.25,0.2,0.2,0.12,5.58,0.82,2.11,520
3,12.12,3.45,2.35,18.5,102,1.31,0.2,0.4,0.14,5.28,0.28,1.25,225
3,13.28,2.22,2.3,22,10,1.35,0.28,0.41,1.03,1.58,0.2,1.28,215
3,13.23,4.32,2.22,22.5,88,1.28,0.42,0.52,1.15,2.22,0.28,1.25,520
3,13.45,3.2,2.2,23,111,1.2,0.12,0.43,1.42,10.28,0.85,1.52,215
3,12.82,3.32,2.3,11.5,88,1.48,0.22,0.4,0.12,10.22,0.22,1.25,285
3,13.58,2.58,2.21,24.5,105,1.55,0.84,0.31,1.54,8.22,0.24,1.8,250
3,13.4,4.2,2.82,25,112,1.18,0.12,0.22,1.11,8.5,0.22,1.12,230
3,12.2,3.03,2.32,11,12,1.25,0.41,0.4,0.23,5.5,0.22,1.83,510
3,12.22,2.31,2.28,11.5,82,1.31,0.51,0.48,0.24,1.811111,0.52,1.23,420
3,14.12,2.51,2.48,20,11,1.28,0.2,0.44,1.24,1.2,0.22,1.21,220
3,13.21,5.25,2.45,20.5,15,1.28,0.21,0.52,1.02,2.2,0.24,1.24,240
3,13.4,3.11,2.48,23,102,1.8,0.25,0.43,1.41,2.3,0.2,1.52,250
3,13.22,4.28,2.22,20,120,1.51,0.21,0.43,1.35,10.2,0.51,1.52,835
3,13.12,2.51,2.32,20,120,1.25,0.28,0.53,1.42,1.3,0.2,1.22,840
3,14.13,4.1,2.24,24.5,12,2.05,0.22,0.52,1.35,1.2,0.21,1.2,520
